OID;OBJECTID;IDDATACION;CODIGOMUES;UNIDADGEOL;LITOLOGIA;EDADAÑOSB;ERRORAÑOS;EDADMA;ERRORMA;EDADGRASIM;EDADGRAS_1;EDADESTRAT;EDADESHERE;METODODATA;MATERIALAN;RELACIONIN;MSWD;PX2;DISPERSION;NUMEROGRAN;NUMEROALIC;FUENTEGEOR;COORDENADA;COORDENA_1;SISTEMACOO;LATITUD;LONGITUD;REFERENCIA;CITAREFERE;IDREFERENC;COMENTARIO;URL
10;11;125;LC-10;Terraza aluvial; ; ;± 130; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219981;1141285;MAGNA_Colombia_Oeste;"6° 35' 01,740"" N";"75° 48' 00,207"" W";García, Y.C., Martínez, J.I., Vélez, M.I., Yokoyama, Y., Battarbee, R.W. & Suter, F.D. 2011. Palynofacies analysis of the late Holocene San Nicolás terrace of the Cauca paleolake and paleohydrology of northern South America. Palaeogeography, Palaeocl;García et al. (2011);109;Sección La Caimana: muestra colectada a 935 cm sobre la base de la sección. También publicada en Martínez et al. (2013) [177] y Vélez et al. (2013) [322];http://www.sciencedirect.com/science/article/pii/S0031018210006759
11;12;128;SN-46;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 1979 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
12;13;129;TB-1 3;Terraza costera; ; ;± 50; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Anodonita sp.; ; ; ; ; ; ; ;1639281;836537;MAGNA_Colombia_Bogota;"10° 22' 23,400"" N";"75° 34' 12,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Tierra Bomba: muestra colectada a 279 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
13;14;130;TB-1 6;Terraza costera; ; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Codakia sp.; ; ; ; ; ; ; ;1639281;836537;MAGNA_Colombia_Bogota;"10° 22' 23,400"" N";"75° 34' 12,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Tierra Bomba: muestra colectada a 344 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
14;15;131;FS-65;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1221109;1141452;MAGNA_Colombia_Oeste;"6° 35' 38,437"" N";"75° 47' 54,678"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Sección Sucre: muestra colectada a 730 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
15;16;136;TB-1 2;Terraza costera; ; ;± 100; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Macoma sp.; ; ; ; ; ; ; ;1639281;836537;MAGNA_Colombia_Bogota;"10° 22' 23,400"" N";"75° 34' 12,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Tierra Bomba: muestra colectada a 279 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
16;17;137;TB-2 33;Terraza costera; ; ;± 100; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Codakia sp.; ; ; ; ; ; ; ;1639281;836537;MAGNA_Colombia_Bogota;"10° 22' 23,400"" N";"75° 34' 12,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Tierra Bomba: muestra colectada a 359 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
17;18;142;TB-1 5;Terraza costera; ; ;± 120; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Tellina sp.; ; ; ; ; ; ; ;1639281;836537;MAGNA_Colombia_Bogota;"10° 22' 23,400"" N";"75° 34' 12,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Tierra Bomba: muestra colectada a 344 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
18;19;144;TB-1 4;Terraza costera; ; ;± 90; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Anodonita sp.; ; ; ; ; ; ; ;1639281;836537;MAGNA_Colombia_Bogota;"10° 22' 23,400"" N";"75° 34' 12,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Tierra Bomba: muestra colectada a 199 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
19;20;146;TB-1 1;Terraza costera; ; ;± 80; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Trachycardium sp.; ; ; ; ; ; ; ;1639281;836537;MAGNA_Colombia_Bogota;"10° 22' 23,400"" N";"75° 34' 12,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Tierra Bomba: muestra colectada a 199 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
20;21;148;PC 9;Terraza costera; ; ;± 40; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Lucina sp.; ; ; ; ; ; ; ;1659530;843688;MAGNA_Colombia_Bogota;"10° 33' 23,300"" N";"75° 30' 20,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Punta Canoas: muestra colectada a 637 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
21;22;151;TB-3 34;Terraza costera; ; ;± 110; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Macoma sp.; ; ; ; ; ; ; ;1639281;836537;MAGNA_Colombia_Bogota;"10° 22' 23,400"" N";"75° 34' 12,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Tierra Bomba: muestra colectada a 357 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
22;23;152;MM-1 15;Terraza costera; ; ;± 80; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Oculina sp.; ; ; ; ; ; ; ;1654651;844189;MAGNA_Colombia_Bogota;"10° 30' 44,600"" N";"75° 30' 02,800"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Manzanillo del Mar: muestra colectada a 248 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
23;24;154;PC 8;Terraza costera; ; ;± 120; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Anomalocardia sp.; ; ; ; ; ; ; ;1659530;843688;MAGNA_Colombia_Bogota;"10° 33' 23,300"" N";"75° 30' 20,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Punta Canoas: muestra colectada a 629 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
24;25;155;SN-37;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 1512 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
25;26;161;LC-08;Terraza aluvial; ; ;± 50; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219981;1141285;MAGNA_Colombia_Oeste;"6° 35' 01,740"" N";"75° 48' 00,207"" W";García, Y.C., Martínez, J.I., Vélez, M.I., Yokoyama, Y., Battarbee, R.W. & Suter, F.D. 2011. Palynofacies analysis of the late Holocene San Nicolás terrace of the Cauca paleolake and paleohydrology of northern South America. Palaeogeography, Palaeocl;García et al. (2011);109;Sección La Caimana: muestra colectada a 717 cm sobre la base de la sección. También publicada en Martínez et al. (2013) [177] y Vélez et al. (2013) [322];http://www.sciencedirect.com/science/article/pii/S0031018210006759
26;27;164;MM-1 16;Terraza costera; ; ;± 70; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Codakia sp.; ; ; ; ; ; ; ;1654651;844189;MAGNA_Colombia_Bogota;"10° 30' 44,600"" N";"75° 30' 02,800"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Manzanillo del Mar: muestra colectada a 173 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
27;28;168;LC-06;Terraza aluvial; ; ;± 45; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219981;1141285;MAGNA_Colombia_Oeste;"6° 35' 01,740"" N";"75° 48' 00,207"" W";García, Y.C., Martínez, J.I., Vélez, M.I., Yokoyama, Y., Battarbee, R.W. & Suter, F.D. 2011. Palynofacies analysis of the late Holocene San Nicolás terrace of the Cauca paleolake and paleohydrology of northern South America. Palaeogeography, Palaeocl;García et al. (2011);109;Sección La Caimana: muestra colectada a 597 cm sobre la base de la sección. También publicada en Martínez et al. (2013) [177] y Vélez et al. (2013) [322];http://www.sciencedirect.com/science/article/pii/S0031018210006759
28;29;171;PO-1 20;Terraza costera; ; ;± 80; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Chione sp.; ; ; ; ; ; ; ;1653867;844180;MAGNA_Colombia_Bogota;"10° 30' 19,100"" N";"75° 30' 03,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Playa de Oro: muestra colectada a 246 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
29;30;172;PO-1 19;Terraza costera; ; ;± 80; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Chione sp.; ; ; ; ; ; ; ;1653867;844180;MAGNA_Colombia_Bogota;"10° 30' 19,100"" N";"75° 30' 03,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Playa de Oro: muestra colectada a 246 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
30;31;175;SN-26;Terraza aluvial; ; ;± 20; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 1035 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
31;32;184;SN-10;Terraza aluvial; ; ;± 70; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 335 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
32;33;187;PO-1 18;Terraza costera; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Chione sp.; ; ; ; ; ; ; ;1653867;844180;MAGNA_Colombia_Bogota;"10° 30' 19,100"" N";"75° 30' 03,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Playa de Oro: muestra colectada a 218 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
33;34;189;SN-31;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 1226 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
34;35;190;PO-2 29;Terraza costera; ; ;± 80; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Corbula caribbea; ; ; ; ; ; ; ;1653867;844180;MAGNA_Colombia_Bogota;"10° 30' 19,100"" N";"75° 30' 03,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Playa de Oro: muestra colectada a 109 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
35;36;191;PO-1 17;Terraza costera; ; ;± 35; ; ; ; ;Holoceno (Q2); ;Carbono–14;Molusco Chione sp.; ; ; ; ; ; ; ;1653867;844180;MAGNA_Colombia_Bogota;"10° 30' 19,100"" N";"75° 30' 03,000"" W";Martínez, J.I., Yokoyama, Y., Gómez, A., Delgado, A., Matsuzaki, H. & Rendón, E. 2010. Late Holocene marine terraces of the Cartagena region, southern Caribbean: The product of neotectonism or a former high stand in sea-level? Journal of South America;Martínez et al. (2010);176;Sección Playa de Oro: muestra colectada a 179 cm sobre el nivel del mar.;http://www.sciencedirect.com/science/article/pii/S0895981109001333
36;37;192;SN-49;Terraza aluvial; ; ;± 20; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219881;1141285;MAGNA_Colombia_Oeste;"6° 34' 58,486"" N";"75° 48' 00,216"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Núcleo San Nicolas: muestra colectada a 2015 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
37;38;195;LC-11;Terraza aluvial; ; ;± 195; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219981;1141285;MAGNA_Colombia_Oeste;"6° 35' 01,740"" N";"75° 48' 00,207"" W";García, Y.C., Martínez, J.I., Vélez, M.I., Yokoyama, Y., Battarbee, R.W. & Suter, F.D. 2011. Palynofacies analysis of the late Holocene San Nicolás terrace of the Cauca paleolake and paleohydrology of northern South America. Palaeogeography, Palaeocl;García et al. (2011);109;Sección La Caimana: muestra colectada a 1065 cm sobre la base de la sección. También publicada en Martínez et al. (2013) [177] y Vélez et al. (2013) [322];http://www.sciencedirect.com/science/article/pii/S0031018210006759
38;39;200;FS-72;Terraza aluvial; ; ;± 30; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1221109;1141452;MAGNA_Colombia_Oeste;"6° 35' 38,437"" N";"75° 47' 54,678"" W";Martínez, J.I., Mayr, C., Yokoyama, Y., Vélez, M.I. & Battarbee, R.W. 2013. The San Nicolás succession of the Cauca paleolake: a late Holocene laminated ria lake record from the Neotropics. Journal of Paleolimnology, 49(2): 287-300.;Martínez et al. (2013);177;Sección Sucre: muestra colectada a 1368 cm de profundidad.;http://dx.doi.org/10.1007/s10933-012-9676-4
39;40;214;LC-04;Terraza aluvial; ; ;± 50; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219981;1141285;MAGNA_Colombia_Oeste;"6° 35' 01,740"" N";"75° 48' 00,207"" W";García, Y.C., Martínez, J.I., Vélez, M.I., Yokoyama, Y., Battarbee, R.W. & Suter, F.D. 2011. Palynofacies analysis of the late Holocene San Nicolás terrace of the Cauca paleolake and paleohydrology of northern South America. Palaeogeography, Palaeocl;García et al. (2011);109;Sección La Caimana: muestra colectada a 345 cm sobre la base de la sección. También publicada en Martínez et al. (2013) [177] y Vélez et al. (2013) [322];http://www.sciencedirect.com/science/article/pii/S0031018210006759
40;41;216;LC-05;Terraza aluvial; ; ;± 135; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219981;1141285;MAGNA_Colombia_Oeste;"6° 35' 01,740"" N";"75° 48' 00,207"" W";García, Y.C., Martínez, J.I., Vélez, M.I., Yokoyama, Y., Battarbee, R.W. & Suter, F.D. 2011. Palynofacies analysis of the late Holocene San Nicolás terrace of the Cauca paleolake and paleohydrology of northern South America. Palaeogeography, Palaeocl;García et al. (2011);109;Sección La Caimana: muestra colectada a 511 cm sobre la base de la sección. También publicada en Martínez et al. (2013) [177] y Vélez et al. (2013) [322];http://www.sciencedirect.com/science/article/pii/S0031018210006759
41;42;217;LC-09;Terraza aluvial; ; ;± 45; ; ; ; ;Holoceno (Q2); ;Carbono–14;Sedimento; ; ; ; ; ; ; ;1219981;1141285;MAGNA_Colombia_Oeste;"6° 35' 01,740"" N";"75° 48' 00,207"" W";García, Y.C., Martínez, J.I., Vélez, M.I., Yokoyama, Y., Battarbee, R.W. & Suter, F.D. 2011. Palynofacies analysis of the late Holocene San Nicolás terrace of the Cauca paleolake and paleohydrology of northern South America. Palaeogeography, Palaeocl;García et al. (2011);109;Sección La Caimana: muestra colectada a 837 cm sobre la base de la sección. También publicada en Martínez et al. (2013) [177] y Vélez et al. (2013) [322];http://www.sciencedirect.com/science/article/pii/S0031018210006759
